food_id,protein,fat,endorsement
2148,16.5,5.3,Moderate Food
1062,0.1,0.1,Low Fat
1976,48.4,2.3,Low Fat
808,0.065,0.011,Low Fat
1565,3.3,4.1,Low Fat
925,8.2,14.6,Premium Food
1788,7.9,0.4,Low Fat
1897,86.9,4.0,Low Fat
1585,24.2,12.1,Premium Food
2066,6.1,8.8,Moderate Food
1805,0.0,5.2,Moderate Food
90,2.9,3.5,Low Fat
122,0.5,0.1,Low Fat
1978,1.5,4.8,Low Fat
1290,1.6,0.2,Low Fat
601,4.1,3.0,Low Fat
822,1.1,0.6,Low Fat
2226,86.9,15.8,Premium Food
2183,0.2,0.2,Low Fat
1634,2.4,12.4,Premium Food
607,4.4,1.2,Low Fat
1040,13.5,13.4,Premium Food
30,1.4,0.7,Low Fat
30,1.4,0.7,Low Fat
1826,0.0,13.6,Premium Food
6,9.4,37.7,Premium Food
923,9.3,45.4,Premium Food
242,47.6,9.0,Moderate Food
112,3.7,15.2,Premium Food
559,1.5,9.1,Moderate Food
1604,22.7,6.2,Moderate Food
254,79.0,56.1,Premium Food
2114,0.2,0.095,Low Fat
527,66.1,62.0,Premium Food
127,0.4,0.3,Low Fat
1992,2.3,0.5,Low Fat
1060,0.037,0.049,Low Fat
690,1.3,0.3,Low Fat
431,38.3,11.5,Premium Food
1698,29.0,28.3,Premium Food
174,73.8,123.8,Premium Food
1481,88.7,11.8,Premium Food
194,10.0,3.4,Low Fat
2252,6.0,3.8,Low Fat
392,4.4,18.0,Premium Food
2178,10.2,4.4,Low Fat
1182,12.6,9.4,Moderate Food
2170,42.8,11.1,Premium Food
406,8.0,6.5,Moderate Food
1745,0.5,0.1,Low Fat
847,2.4,9.2,Moderate Food
161,6.6,5.1,Moderate Food
1325,0.0,218.0,Premium Food
217,17.4,25.3,Premium Food
2324,4.2,0.4,Low Fat
478,1.3,0.3,Low Fat
179,9.2,15.1,Premium Food
1839,1.4,0.017,Low Fat
42,1.7,0.2,Low Fat
612,7.8,2.2,Low Fat
752,1.3,1.8,Low Fat
1017,33.0,16.6,Premium Food
2194,6.0,18.1,Premium Food
164,5.3,0.9,Low Fat
1657,0.091,0.043,Low Fat
581,1.8,18.9,Premium Food
